sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
11788	2	ने	ने	psp	-	-	-	-	-	-	-	मनमोहन	मनमोहन	lwg__psp
11788	3	कहा	कह	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
11788	4	कि	कि	avy	-	-	-	-	-	-	-	कहा	कह	k2
11788	5	वह	वह	pn	any	sg	3	d	0	0	-	करेंगे	कर	k1
11788	6	तमिलनाडु	तमिलनाडु	n	m	sg	3	o	0	0	-	और	और	ccof
11788	7	और	और	avy	-	-	-	-	-	-	-	मुख्यमंत्रियों	मुख्यमंत्री	r6
11788	8	पांडिचेरी	पांडिचेरी	n	m	sg	3	o	0_के	0	-	और	और	ccof
11788	9	के	के	psp	m	sg	-	o	-	-	-	पांडिचेरी	पांडिचेरी	lwg__psp
11788	10	मुख्यमंत्रियों	मुख्यमंत्री	n	m	pl	3	o	0_से	0	-	कर	कर	ras-k1
11788	11	से	से	psp	-	-	-	-	-	-	-	मुख्यमंत्रियों	मुख्यमंत्री	lwg__psp
11788	12	बात	बात	n	f	sg	3	d	0	0	-	कर	कर	pof
11788	13	कर	कर	v	any	any	any	-	0	0	-	करेंगे	कर	vmod
11788	14	उनके	वह	pn	m	pl	3	o	का	kA	-	फंड	फंड	r6
11788	15	फंड	फंड	n	m	sg	3	o	0_के_लिए	0	-	करेंगे	कर	rt
11788	16	के	के	psp	-	-	-	-	-	-	-	फंड	फंड	lwg__psp
11788	17	लिए	लिए	psp	-	-	-	-	-	-	-	फंड	फंड	lwg__psp
11788	18	बात	बात	n	f	sg	3	d	0	0	-	करेंगे	कर	pof
11788	19	करेंगे	कर	v	m	sg	3h	-	गा	gA	active	कि	कि	ccof
11788	20	.	.	punc	-	-	-	-	-	-	-	कहा	कह	rsym
11789	1	मनमोहन	मनमोहन	n	m	sg	3	o	0_ने	0	-	कहा	कह	k1
11789	2	ने	ने	psp	-	-	-	-	-	-	-	मनमोहन	मनमोहन	lwg__psp
11789	3	कहा	कह	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
11789	4	कि	कि	avy	-	-	-	-	-	-	-	कहा	कह	k2
11789	5	सुनामी	सुनामी	n	f	sg	3	o	0_से	0	-	तरह	तरह	nmod
11789	6	से	से	psp	-	-	-	-	-	-	-	सुनामी	सुनामी	lwg__psp
11789	7	बुरी	बुरा	adj	f	sg	-	d	-	-	-	तरह	तरह	nmod__adj
11789	8	तरह	तरह	n	f	sg	3	d	0	0	-	प्रभावित	प्रभावित	jjmod
11789	9	प्रभावित	प्रभावित	adj	any	any	-	o	-	-	-	निकोबार	निकोबार	nmod
11789	10	अंडमान	अंडमान	n	m	sg	3	d	0	0	-	निकोबार	निकोबार	pof__cn
11789	11	निकोबार	निकोबार	n	m	sg	3	o	0_के	0	-	पुनर्वास	पुनर्वास	r6
11789	12	के	के	psp	m	sg	-	o	-	-	-	निकोबार	निकोबार	lwg__psp
