Labels,Total,Train support,,percentage accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adv,206,1960,0.733,73.3,adv-151,sent-adv-10,nmod_adj - 7,pof-5,k1 - 4,pof_cn-3,k7t-3,rh-3,vmod-3,k7 - 3,ccof-2,k2 - 2,k2s-2,lwg_rp-2,lwg_psp-1,k1s-1,ras-k2-1,mod-1,ras-k1 - 1,main-1,,,,,,,,,,,,
ccof,2490,19040,0.941767068273093,94.18,ccof-2345,r6-19,main-13,nmod-12,pof_cn - 11,nmod_relc-10,k7 - 10,vmod-8,k2- 8,k1s-8,pof-7,k1- 7,lwg_vaux-6,nmod_adj-6,k7t-4,nmod_k1inv-3,rs-3,rh-2,k4- 2,k2s-2,rt-1,k3-1,r6-k2 - 1,lwg_vaux-1,,,,,,,,
fragof,45,281,0.777777777777778,77.78,fragof-35,r6 - 2,nmod-2,lwg_psp-1,k4 - 1,vmod-1,k1 - 1,lwg_vaux_cont-1,main-1,,,,,,,,,,,,,,,,,,,,,,,
jjmod,113,973,0.831858407079646,83.19,jjmod-94,k7p - 3,k7t-3,mod-2,k2 - 2,rh-1,rt-1,k1s-1,k5 - 1,k3 - 1,r5-k2 - 1,k1 - 1,nmod-1,k7 - 1,,,,,,,,,,,,,,,,,,
jjmod__intf,28,345,0.928571428571429,92.86,jjmod__intf - 26,nmod_adj-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jk1,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k1,2302,19332,0.912250217202433,91.23,k1 - 2100,k2 - 29,nmod_adj-23,pof_cn-23,r6 - 21,k1s-20,pof-18,k4 -12,k4a-11,ccof-11,k7 - 8,nmod-7,jjmod-4,rh-2,lwg_psp=2,ras-k1 - 2,vmod-1,r6-k1 - 1,nmod_emph-1,rs-1,r6-k2 - 1,k7t-1,adv-1,k7a-1,k7p-1,,,,,,,
k1s,346,2596,0.745664739884393,74.57,k1s - 258,k1 - 41,pof -16,k1u - 5,ccof - 4,nmod -4,k2 - 3,main - 3,k7 - 3,adv -2,k2s - 1,vmod -1,rs - 1,r6 - 1,k7t - 1,k7p - 1,nmod_adj - 1,,,,,,,,,,,,,,,
k1u,14,91,0.428571428571429,42.86,k1u -6,adv-2,ras-k2 - 2,k7-2,k2g-1,nmod-1,,,,,,,,,,,,,,,,,,,,,,,,,,
k2,1926,14350,0.786604361370717,78.66,k2 - 1515,k1 - 139,pof - 121,k4 - 30,rs- 20,ccof - 12,k5 -10,pof_cn - 9,k1s - 8,r6 - 6,nmod - 6,nmod_adj - 6,k7 - 6,k2p - 5,rh - 4,k2s - 4,ras-k1 - 4,k7t - 3,adv -3,rt - 3,k4a-3,k3 - 3,k7t - 3,k4a - 3,k3 - 3,lwg_psp - 1,lwg_rp - 1,r6-k1 - 1,r6-k2 - 1,k7p - 1,r6-k2 - 1,main - 1
