	sent_id	sentence
0	1	पांच लाख का इनामी और कुख्यात स्वयंभू नक्सल कमांडर कमलेश्वर बैठा पटना के बाहरी इलाके में पकड़ा गया है . 
20	2	उत्तर प्रदेश , बिहार और झारखंड की पुलिस उसे पिछले एक दशक से तलाश रही थी . 
37	3	यह खूंखार नक्सली ७० पुलिस कर्मियों की हत्या का जिम्मेदार तो है ही उसने बारूदी सुरंगों के विस्फोटों से अनेक लोगों की जानें ली हैं . 
60	4	डीआईजी पुलिस अशीष रंजन ने संवाददाताओं को सोमवार की रात बताया कि सुराग लगते ही एसटीएफ के कमांडो ने स्थानीय पुलिस और उत्तर प्रदेश से आए एसटीएफ के लोगों के साथ मिलकर एक सघन तलाशी अभियान चलाया . 
98	5	और सोमवार की रात को ही नक्सल कमांडर कमलेश्वर बैठा को शहर के बाहरी इलाके में धर दबोचा . 
117	6	डीआईजी ने बताया कि बैठा को गिरफ्तार करने के तुरंत बाद कोतवाली पुलिस स्टेशन लाया गया जहां उससे एसटीएफ के अधिकारी पूछताछ करेंगे . 
141	7	इस नक्सली नेता से पूछताछ के लिए उत्तर प्रदेश और झारखंड से भी एसटीएफ के लोग आ रहे हैं . 
161	8	उन्होंने बताया कि बैठा पर ७० पुलिस कर्मियों की हत्या का आरोप है . 
175	9	इसके अलावा उसके खिलाफ उत्तर प्रदेश और झारखंड में भी कई आपराधिक मामले हैं . 
190	10	उल्लेखनीय है कि उत्तर प्रदेश और बिहार की सरकारों ने उसके बारे में सूचना देने वाले के लिए दो - दो लाख रुपये का इनाम रखा है . 
217	11	जबकि झारखंड ने भी उसकी गिरफ्तारी में मदद करने वालों को एक लाख का नकद पुरस्कार देने का ऐलान कर रखा है . 
240	12	आधिकारिक सूत्रों ने बताया कि बैठा बारूदी सुरंग बनाने और बिछाने में तो माहिर है ही वह अन्य कई विस्फोटक बनाने का भी विशेषज्ञ है . 
264	13	इसके अलावा एक अन्य अभियान में भाकपा ( माओवादी ) के एक और खूंखार नक्सली रामबचन यादव को एसटीएफ ने रोहतास जिले के एक गांव में गिरफ्तार कर लिया . 
294	14	दिल्लीवासियों के लिए बृहस्पतिवार का दिन काफी सुहावना रहा । 
304	15	यहां दिन में गुनगुनी धूप निकलने से तापमान ऊपर खिसक गया । 
316	16	शाम के समय राजधानी में बारिश हुई , जिससे हल्की ठंड रही । 
329	17	मनाली में बर्फबारी ने पिछले २५ साल का रिकार्ड तोड़ दिया । 
341	18	राष्ट्रीय राजधानी में आज दिन में धूप निकली , जिससे यहां का अधिकतम तापमान ०.६ डिग्री ऊपर खिसक कर २५.२ डिग्री सेल्सियस पर पहुंच गया , जबकि न्यूनतम तापमान १३.२ डिग्री रहा । 
374	19	वैसे दिल्ली में शाम के समय बारिश हुई , जिससे थोड़ी ठंड बढ़ गई । 
389	20	जम्मू - श्रीनगर राष्ट्रीय राजमार्ग आज चौथे दिन भी बंद रहा । 
401	21	करीब छह सौ वाहन बर्फबारी में फंसे हुए हैं । 
411	22	जवाहर सुरंग के निकट का रिकार्ड १० फीट और पटनीटॉप में ५ फीट बर्फ गिरने की खबर है । 
428	23	ये पिछले सप्ताह हिमस्खलन में बर्फ में दब गए थे । 
439	24	यहां वाहनों में फंसे करीब तीन हजार यात्रियों को प्रशासन ने आसपास के गांवों में शरण दिलाई है । 
458	25	हिमाचल प्रदेश में भी लाहौल , स्पीति और पिन बर्फ की सफेद चादर से ढके हुए हैं । 
476	26	राज्य के कम ऊंचाई वाले इलाकों में बर्फबारी में कमी से यहां के लोगों को थोड़ी राहत मिली है । 
496	27	भारत - तिब्बत और कुल्लू - मनाली मार्ग को आंशिक तौर पर खोला गया है । 
512	28	शिमला , मशोबरा और भंतूर में आज न्यूनतम तापमान २.२ डिग्री रहा । 
525	29	मनाली में बृहस्पतिवार को पिछले २५ वर्षो का बर्फ गिरने का रिकॉर्ड टूट गया है । 
541	30	हिमपात से पूरा रिसॉर्ट बर्फ की चार फुट मोटी चादर से आच्छादित हो गया है । 
